Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Skim;34;[skɪm];"remove from the top; move lightly (over); glide along; read hastily or carelessly";از بالا برداشتن ، ملایم از روی چیزی گذشتن ، سر خوردن ، شتابزده یا بی دقتی خواندن;"a. This soup will be more nourishing if you skim off the fat.

b. I caught a glimpse of Mark and Marge skimming over the ice.

c. Detective Corby, assigned to the homicide, was skimming through the victim's book of addresses."
Vaccinate;34;[vac·ci·nate || 'væksɪneɪt];inoculate with vaccine as a protection against smallpox and other diseases;مصون ساختن با واکسن به عنوان حفاظت در برابر آبله و بیماری های دیگر ، واکسینه کردن;"a. There has been a radical decline in polio since doctors began to vaccinate children with the Salk vaccine.

b. The general population has accepted the need to vaccinate children against the once-dreaded disease.

c. Numerous examples persist of people who have neglected to have their infants vaccinated."
Untidy;34;[ˌənˈtīdē];"not neat; not in order";آشفته ، نا مرتب;"a. The bachelor's quarters were most untidy.

b. We must start a clean-up campaign to keep the campus from being so untidy.

c. Finding the house in such an untidy condition baffled us."
Utensil;34;[u·ten·sil || juː'tensl];container or tool used for practical purposes;ظرف یا ابزاری که برای اهداف کاربردی استفاده می شود ;"a. Several utensils were untidily tossed about the kitchen.

b. Edward's baggage contained all the utensils he would need on the camping trip.

c. Some people are so old-fashioned that they reject the use of any modern utensil."
Sensitive;34;[sen·si·tive || 'sensɪtɪv];"receiving impressions readily; easily affected or influenced; easily hurt or offended";به راحتی برداشت ها را دریافت می کند ، به راحتی تحت تاثیر قرار می گیرد ، براحتی آسیب می بیند یا ناراحت می شود ، حساس;"a. The eye is sensitive to light.

b. From the experiment we may conclude that mercury in a thermometer is sensitive to changes in temperature.

c. James is sensitive about his wretched handwriting."
Temperate;34;[tem·per·ate || 'tempərət];"not very hot and not very cold; moderate";نه زیاد داغ و نه زیاد سرد ، معتدل ، ملایم;"a. The United States is mostly in the North Temperate Zone.

b. All students received the appeal to be temperate and not to jump to conclusions in judging the new grading system.

c. Mrs. Rollins commended her class for their temperate attitude when she announced the extra assignment."
Vague;35;[veɪg];"not definite; not clear; not distinct";نامعین ، ناآشکار ، نامشخص;"a. Joe's position was vague because he wanted to remain neutral in the dispute.

b. When asked her opinion, Gladys was tactful enough to give a vague answer that did not hurt anyone.

c. The vague shape in the distance proved to be nothing more weird than a group of trees."
Elevate;35;[el·e·vate || 'elɪveɪt];"raise; lift up";بالا بردن ، بلند کردن;"a. Private Carbo was elevated to higher rank for his valor.

b. Reading a variety of good books elevates the mind.

c. The candidate spoke from an elevated platform."
Lottery;35;[lot·ter·y || 'lɑtərɪ /'lɒt-];a scheme for distributing prizes by lot or chance;طرحی برای توزیع جایزه از طریق بخت آزمایی یا شانس;"a. The merit of a lottery is that everyone has an equal chance.

b. We thought that a lottery was an absurd way of deciding who should be the team captain.

c. The rash young man claimed the lottery prize only to find he had misread his number."
Finance;35;[fi·nance || fɪ'næns / 'faɪnæns];"money matters; to provide money for";مسائل مالی ، فراهم کردن پول برای;"a. The new employee boasted of his skill in finance.

b. Frank circulated the rumor that his uncle would finance his way through college.

c. Mrs. Giles retained a lawyer to handle her finances."
Obtain;35;[ob·tain || əb'teɪn];"get; be in use";ب هدست آوردن ، مورد استفاده بودن;"a. An adolescent is finding it increasingly difficult to obtain a good job without a diploma.

b. David obtained accurate information about college from his guidance counselor.

c. Because this is a coeducational school, different rules obtain here."
Cinema;35;[cin·e·ma || 'sɪnɪmə];moving picture;تصویر متحرک;"a. Censors have developed a rating system for the cinema.

b. Today's cinema is full of homicides and violence.

c. A best-seller is often the source of cinema stories."
Event;35;[e·vent || ɪ'vent];"happening; important happening; result or outcome; one item in a program of sports";رخداد ، رویداد مهم ، نتیجه یا پیامد;"a. The greatest event in Ellie's life was winning the $50,000 lottery.

b. We chose our seat carefully and then awaited the shot-put event.

c. There is merit in gaining wisdom even after the event."
Discard;35;[dis·card || dɪ'skɑːd];throw aside;کنار انداختن;"a. Anna casually discarded one boyfriend after another.

b. Confident that he held a winning hand, Slim refused to discard anything.

c. Asked why he had discarded his family traditions, Mr. Menzel remained mute."
Soar;35;[sɔr /sɔː];"fly upward or at a great height; aspire";به بالا یا در ارتفاع زیاد پرواز کردن ، اوج گرفتن;"a. We watched the soaring eagle skim over the mountain peak.

b. An ordinary man cannot comprehend such soaring ambition.

c. The senator's hopes for victory soared after his television appearance."
Subsequent;35;['sub·se·quent || 'sʌbsɪkwənt];"later; following; coming after";بعدی ، متعاقب ، آنچه که بعد می آید;"a. Subsequent events proved that Sloan was right.

b. Further explanations will be presented in subsequent lectures.

c. Though the enemy forces resisted at first, they subsequently learned that their efforts were in vain."
Relate;35;[re·late || rɪ'leɪt];"tell; give an account of; connect in thought or meaning";گفتن ، شرح دادن ، از نظر معنایی یا فکری ربط دادن;"a. The traveler related his adventures with some exaggeration.

b. After viewing the cinema's latest show, the observant student was able to relate every detail.

c. Would you say that misfortune is related to carelessness?"
Stationary;35;[sta·tion·ar·y || 'steɪʃnərɪ ,-nrɪ];"having a fixed station or lpace; standing still; not moving; not changing in size, number or activity";دارای جایگها یا مکانی ثابت ، آرام ایستاده است ، بی حرکت ، از نظر اندازه ، تعداد یا فعالیت تغییر نمی کند;"a. A factory engine is stationary.

b. The population of our town has been stationary for a decade.

c. Caught in the middle of traffic, the frightened pedestrian remained stationary in the busy street."
Prompt;36;[prɑmpt /prɒmpt];"quick; on time; done at once; to cause (someone) to do something; remind (someone) of the words or actions needed";سریع ، به موقع ، فورا انجام می شود ، کسی را وادار به انجام کاری کردن ، اعمال یا واژگان مورد نیاز را به یاد کسی انداختن;"a. Be prompt in assembling your baggage.

b. Terry's caution prompted him to ask many questions before he consented.

c. Larry was confident he knew his lines well enough not to need any prompting."
Hasty;36;['hast·y || 'heɪstɪ];"quick; hurried; not well thought out";سریع ، شتابزده ، خوب روی آن فکر نشده است;"a. A hasty glance convinced him that he was being followed.

b. Rather than make a hasty decision, Mr. Torres rejected the offer.

c. Myra apologized for the hasty visit."
Scorch;36;[skɔrtʃ /skɔːtʃ];"burn slightly; dry up; criticize sharply";سوزاندن ملایم ، خشکاندن ، شدیداً انتقاد کردن;"a. The hot iron scorched the tablecloth.

b. Farmers reported that their wheat was being scorched by the fierce rays of the sun.

c. Mr. Regan gave the class a scorching lecture on proper behavior in the cafeteria."
Tempest;36;[tem·pest || 'tempɪst];"violent storm with much wind; a violent disturbance";طوفان خشن با باد زیاد ، اغتشاش و آشفتگی خشونت آمیز;"a. The tempest drove the ship on the rocks.

b. Following the weather report of the approaching tempest, we were prompted to seek immediate shelter.

c. When Mr. Couche saw that a tempest was brewing over the issue, he hastily called a meeting."
Soothe;36;[suːð];"quiet; calm; comfort";آرام کردن ، ساکت کردن ، آرامش دادن;"a. With an embrace, the mother soothed the hurt child.

b. Heat soothes some aches; cold soothes others.

c. Rosalie's nerves were soothed by the soft music."
Sympathetic;36;[sym·pa·thet·ic || ‚sɪmpə'θetɪk];"having or showing kind feelings toward others; approving; enjoying the same things and getting along well together";نسبت به دیگران احساسات مهربانانه ای دارد یا نشان می دهد ، موافق;"a. Judge Cruz was sympathetic to the lawyer's plea for mercy.

b. Father was fortunately sympathetic to my request to use the car on weekends.

c. We were all sympathetic to Suzanne over her recent misfortune."
Redeem;36;[re·deem || rɪ'dɪːm];"buy back; pay off; carry out; set free; make up for";پس فروختن ، باز پرداخت کردن ، انجام دادن ، آزاد کردن ، جبران کردن;"a. The property on which money has been lent is redeemed when the loan is paid back.

b. My family was relieved to hear that the mortgage had been redeemed.

c. Mr. Franklin promptly redeemed his promise to help us in time of need."
Resume;36;[re·sume || rɪ'zuːm / -'zjuːm];"begin again; go on; take again";دوباره شروع کردن ، ادامه دادن ، از سر گرفتن;"a. Resume reading where we left off.

b. Those standing may resume their seats.

c. The violinist resumed playing after the intermission."
Harmony;36;[har·mo·ny || 'hɑrmənɪ /'hɑːm-];"situation of getting on well together or going well together; sweet or musical sound";هماهنگی ، صدای موزون و شیرین;"a. We hoped the incident would not disrupt the harmony that existed between the brothers.

b. I am sympathetic to Warren because his plans are in harmony with mine.

c. We responded to the harmony of the song by humming along."
Refrain;36;[re·frain || rɪ'freɪn];hold back;خودداری کردن ، اجتناب کردن;"a. Refrain from making hasty promises.

b. Milo could not refrain from laughing at the jest.

c. If you want to be heard, you must refrain from mumbling."
Illegal;36;[il·le·gal || 'ɪ'lɪːgl];"not lawful; against the law";غیر قانونی ، خلاف قانون;"a. It is illegal to reveal the names of juvenile delinquents.

b. Bigamy is illegal in the United States.

c. Mr. Worthington's illegal stock manipulations led to his jail sentence."
Narcotic;36;[nar·cot·ic || nɑr'kɑtɪk /nɑː'kɒ-];drug that produces drowsiness, sleep, dullness, or an insensible condition, and lessens pain by dulling the nerves;ماده ای که خماری ، خواب ، بی حالی یا حالت بی حسی ایجاد می کند و ب اتسکین اعصاب درد را کاهش می دهد ;"a. Opium is a powerful narcotic.

b. We do not have adequate knowledge of the narcotic properties of these substances.

c. The doctor prescribed a narcotic medicine to soothe the patient's suffering."
Heir;37;[er /eə];"person who has a right to someone's property after that one dies; person who inherits anything";شخصی که پس از مرگ فردی نسبت به دارایی اش حق دارد ، شخصی که چیزی را به ارث می برد;"a. Though Mr. Sloane is the heir to a gold mine, he lives like a miser.

b. The monarch died before he could name an heir to the throne.

c. It is essential that we locate the rightful heir at once."
Majestic;37;[ma·jes·tic || mə'dʒestɪk];"grand; noble; dignified; kingly";بزرگ ، شریف ، با عزت ، شاهانه ، با شکوه;"a. The lion is the most majestic creature of the jungle.

b. In Greek mythology, Mt. Olympus was the majestic home of the gods.

c. The graduates marched into the auditorium to the music of the majestic symphony."
Dwindle;37;[dwin·dle || 'dwɪndl];"become smaller and smaller; shrink";کوچکتر و کوچکتر شدن ، جمع شدن;"a. Our supply of unpolluted water has dwindled.

b. With no visible signs of their ship, hopes for the men's safety dwindled with each passing hour.

c. After the furious tempest, the dwindling chances of finding the raft vanished entirely."
Traitor;37;[trai·tor || 'treɪtə(r)];person who betrays his or her country, a friend, duty, etc.;شخصی که به کشور ، دوست و یا وظیفه اش خیانت می کند ;"a. The patriot sneered when asked to stand on the same platform with the man who was accused of being a traitor.

b. No villain is worse than a traitor who betrays his country.

c. Do not call him a traitor unless you can verify the charge."
Deliberate;37;[de·lib·er·ate || dɪ'lɪbərət];"to consider carefully; intended; done on purpose; slow and careful, as though allowing time to decide what to do";به دقت بررسی کردن ، عمدی ، کند و دقیق ، تو گویی که به زمان اجازه می دهید تصمیم بگیرد چه بکند;"a. Rico's excuse was a deliberate lie.

b. My grandfather walks with deliberate steps.

c. Judge Sirica deliberated for a week before making his decision known."
Vandal;37;[Van·dal || 'vændl];person who wilfully or ignorantly destroys or damages beautiful things;کسی که خواسته یا نادانسته به چیزهای زیبا آسیب می زند یا آن ها را از بین می برد;"a. Adolescent vandals wrecked the cafeteria.

b. The vandals deliberately ripped the paintings from the wall.

c. We could scarcely believe the damage caused by the vandals."
Drought;37;[draʊt];"long period of dry weather; lack of rain; lack of water; dryness";دوره ی طولانی هوای خشک ، نبود باران ، نبود آب ، خشکسالی;"a. Because of the drought, some farmers began to migrate to more fertile regions.

b. In time of drought, the crops become scorched.

c. As the drought wore on, people began to grumble against those who had squandered water when it was more plentiful."
Abide;37;[a·bide || ə'baɪd];"accept and follow out; remain faithful to; dwell; endure";پذیرفتن و دنبال کردن ، وفادار ماندن به ، اقامت داشتن ، تحمل کردن;"a. The team decided unanimously to abide by the captain's ruling.

b. Senator Ervin abided by his promise not to allow demonstrations in the committee room.

c. My mother cannot abide dirt and vermin."
Unify;37;[u·ni·fy || 'juːnɪfaɪ];"unite; make or form into one";متحد کردن ، یکی کردن ، یکی شدن;"a. The novel traces the developments that unified the family.

b. After the Civil War, our country became unified more strongly.

c. It takes a great deal of training to unify all these recruits into an efficient fighting machine."
Summit;37;[sum·mit || 'sʌmɪt];"highest point; top";بالاترین نقطه ، نوک ، قله;"a. We estimated the summit of the mountain to be twenty thousand feet.

b. Do not underestimate Ruth's ambition to reach the summit of the acting profession.

c. The summit meeting of world leaders diminished the threat of war."
Heed;37;[hɪːd];"give careful attention to; take notice of; careful attention";به دقت توجه کردن ، توجه کردن به ، توجه دقیق;"a. I demand that you heed what I say.

b. Florence pays no heed to what the signs say.

c. Take heed and be on guard against those who try to deceive you."
Biography;38;[bi'og·ra·phy || -fɪ];"the written story of a person's life; the part of literature that consists of biographies";داستان مکتوب زندگی یک شخص ، بخشی از ادبیات که از زندگینامه تشکیل می شود;"a. Our teacher recommended the biography of the architect Frank L10yd Wright.

b. The reading of a biography gives a knowledge of people and events that cannot always be obtained from history books.

c. The biography of Malcolm X is a popular book in our school."
Drench;38;[drentʃ];"wet thoroughly; soak";کاملاً خیس کردن ، خیساندن;"a. A heavy rain drenched the campus, and the students had to dry out their wet clothing.

b. The drenching rains resumed after only one lesson of sunshine.

c. His fraternity friends tried to drench him but he was too clever for them."
Swarm;38;[swɔrm /swɔːm];"group of insects flying or moving about together; crowd or great number; to fly or move about in great numbers";گروهی از حشرات که با هم به هر سو حرکت یا پرواز می کنند ، جمعیت یا تعداد زیاد ، به تعداد زیاد به هر سو حرکت یا پرواز کردن;"a. As darkness approached, the swarms of children playing in the park dwindled to a handful.

b. The mosquitoes swarmed out of the swamp.

c. Our campus swarmed with new students in September."
Wobble;38;[wob·ble || 'wɒbl];move unsteadily from side to side;به طور نامنظم از سویی به سویی حرکت کردن;"a. Little Perry thrust his feet into the oversized shoes and wobbled over to the table.

b. A baby wobbles when it begins to walk alone.

c. Lacking experience on the high wire, the clown wobbled along until he reached the safety of the platform."
Tumult;38;[tu·mult || 'tuːmʌlt /'tju-];"noise; uproar; violent disturbance or disorder";سر و صدا ، آشوب ، آشفتگی یا بی نظمی خشونت آمیز;"a. The sailors' voices were too feeble to be heard above the tumult of the storm.

b. There was such a tumult in the halls we concluded an accident had occurred.

c. The dreaded cry of ""Fire!"" caused a tumult in the theater."
Kneel;38;[nɪːl];"go down on one's knees; remain on the knees";زانو زدن ، روی زانو ماندن;"a. Myra knelt down to pull a weed from the drenched flower bed.

b. The condemned man knelt before the monarch and pleaded for mercy.

c. Kneeling over the still figure, the lifeguard tried to revive him."
Dejected;38;[de·ject·ed || dɪ'dʒektɪd];"in low spirits; sad";با روحیه پایین ، غمگین;"a. His biography related that Edison was not dejected by failure.

b. The defeated candidate felt dejected and scowled when asked for an interview.

c. There is no reason to be dejected because we did not get any volunteers."
Obedient;38;[o'be·di·ent || ə'bɪːdɪənt];"doing what one is told; willing to obey";آنچه که به او گفته می شود انجام می دهد ، مایل به اطاعت;"a. The obedient dog came when his master beckoned.

b. Obedient to his father's wishes, Guy did not explore any further.

c. When parents make reasonable requests of them, the majority of my friends are obedient."
Recede;38;[re·cede || rɪ'sɪːd];"go back; move back; slope backward; withdraw";برگشتن ، به عقب حرکت کردن ، به طرف عقب شیب داشتن ، عقب کشیدن;"a. As you ride past in a train, you have the unique feeling that houses and trees are receding.

b. Mr. Ranford's beard conceals his receding chin.

c. Always cautious, Mr. Camhi receded from his former opinion."
Tyrant;38;[ty·rant || 'taɪərənt];"cruel or unjust ruler; cruel master; absolute ruler";حاکم ظالم یا غیر منصف ، ارباب ظالم ، حاکم مطلق;"a. Some tyrants of Greek cities were mild and fair rulers.

b. The tyrant demanded loyalty and obedience from his subjects.

c. Though Ella was a tyrant as director of the play, the whole cast was grateful to her when the final curtain came down."
Charity;38;[char·i·ty || 'tʃærətɪ];"generous giving to the poor; institutions for helping the sick, the poor, or the helpless; kindness in judging people's faults";بخشش سخاوتمندانه به فقرا ، موسساتی که برای کمک به بیماران ، فقرا و بیچارگان ، مهربانی در سنجش تقصیرات مردم;"a. A free hospital is a noble charity.

b. The entire community is the beneficiary of Henry's charity.

c. The hired hand was too proud to accept help or charity."
Verdict;38;[ver·dict || 'vɜrdɪkt /'vɜː-];"decision of a jury; judgment";تصمیم یک هیئت منصفه ، قضاوت;"a. The jury returned a verdict of guilty for the traitor.

b. We were cautioned not to base our verdict on prejudice.

c. Baffled by the verdict, the prosecutor felt that the evidence had been ignored."
Unearth;39;[ˌənˈərTH];"dig up; discover; find out";حفر کردن ، کشف کردن ، پی بردن;"a. The digging of the scientists unearthed a buried city.

b. A plot to defraud the investors was unearthed by the F.B.I.

c. The museum exhibited the vase which had been unearthed in Greece."
Depart;39;[de·part || dɪ'pɑːt];"go away; leave; turn away (from); change; die";دور شدن ، ترک کردن ، روی گرداندن از ، تغییر دادن ، از بین رفتن;"a. We arrived in the village in the morning and departed that night.

b. Stan was vague about departing from his usual manner of choosing a partner.

c. Vera was reluctant to mention that her uncle had long since departed."
Coincide;39;[co·in·cide || ‚kəʊɪn'saɪd];"occupy the same place in space; occupy the same time; correspond exactly; agree";از نظر فضا مکان یکسانی را اشغال کردن ، زمان یکسانی را اشغال کردن ، دقیقاً برابر بودن ، توافق داشتن;"a. If these triangles were placed one on top of the other, they would coincide.

b. Because Pete's and Jim's working hours coincide, and they live in the same vicinity, they depart from their homes at the 

same time.

c. My verdict on the film coincides with Adele's."
Cancel;39;[can·cel || 'kænsl];"cross out; mark so that it cannot be used; wipe out; call off";خط زدن ، علامت گذاری کردن برای اینکه نتوان از آن استفاده کرد ، از بین بردن ، لغو کردن;"a. The stamp was only partially canceled.

b. Because the first shipment contained defective parts, Mr. Zweben canceled the rest of the order.

c. Having found just the right man for the job, Captain Mellides canceled all further interviews."
Debtor;39;['debt·or || 'detə(r)];person who owes something to another;شخصی که به شخص دیگری بدهکار است;"a. If I borrow a dollar from you, I am your debtor.

b. As a debtor who had received many favors from the banker, Mr.

Mertz was reluctant to testify against him.

c. A gloomy debtor's prison was once the fate of those who could not repay their loans."
Legible;39;[leg·i·ble || 'ledʒəbl];"able to be read; easy to read; plain and clear";قابل خواندن ، راحت برای خواندن ، ساده و آشکار;"a. Julia's handwriting is beautiful and legible.

b. Nancy hesitated in her reading because the words were scarcely legible.

c. Our teacher penalizes us for compositions which are not legible."
Placard;39;[plac·ard || 'plækərd /'plækɑːd];"a notice to be posted in a public place; poster";یک آگهی که باید در مکان عمومی نصب شود ، پوستر;"a. Colorful placards announced an urgent meeting.

b. Placards were placed throughout the neighborhood by rival groups.

c. Numerous placards appeared around the city calling for volunteers."
Contagious;39;[con'ta·gious || -dʒəs];spreading by contact, easily spreading from one to another;از طریق تماس منتشر می شود ، به راحتی از فردی به فردی سرایت می کند ، مسری;"a. Scarlet fever is contagious.

b. I find that yawning is often contagious.

c. Interest in the project was contagious, and soon all opposition to it collapsed."
Clergy;39;[cler·gy || 'klɜːdʒɪ];"persons prepared for religious work; clergymen as a group";افرادی که برای کار مذهبی آماده می شوند ، مجموعه روحانیون;"a. We try never to hinder the clergy as they perform their sacred tasks.

b. Friar Tuck was a member of the clergy who loved a jolly jest.

c. The majority of the clergy felt the new morality was a menace to society."
Customary;39;['cus·tom·ar·y || 'kʌstəmrɪ];usual;معمول ، مرسوم;"a. It was customary for wealthy Romans to recline while they were dining.

b. The Robin Williams movie received the customary rave reviews from the critics.

c. The traitor rejected the customary blindfold for the execution."
Transparent;39;[trans'par·ent || træns'perənt /træns'pærənt];"easily seen through; clear";براحتی می توان از داخل آن دید ، روشن ، شفاف;"a. Window glass is transparent.

b. Colonel Thomas is a man of transparent honesty and loyalty.

c. The homicide was a transparent case of jealousy that got out of hand."
Scald;39;[skɔːld];"pour boiling liquid over; burn with hot liquid or steam; heat almost to the boiling point";مایع داغ روی چیزی ریختن ، با بخار یا مایع داغ سوزاندن ، تقریباً تا نقط ی جوش حرارت دادن;"a. Do not neglect to scald the dishes before drying them.

b. The scalding lava pouring from the mountain placed everyone in peril.

c. By being hasty, Stella scalded her hand."
Epidemic;40;[ep·i·dem·ic || ‚epɪ'demɪk];"an outbreak of a disease that spreads rapidly, so that many people have it at the same time; widespread";شیوع یک بیماری که به سرعت منتشر می شود به طوری که افراد زیادی همزمان به آن مبتلا می شوند ، فراگیر;"a. All of the schools in the city were closed during the epidemic.

b. The depiction of violence in the movies has reached epidemic proportions.

c. During the epidemic we were forbidden to drink water unless it had been boiled."
Obesity;40;[əʊ'bɪːsətɪ];extreme fatness;چاقی مفرط;"a. Obesity is considered a serious disease.

b. The salesman tactfully referred to Jack's obesity as stoutness.

c. At the medical convention the topic discussed was the prevention of obesity."
Magnify;40;[mag·ni·fy || 'mægnɪfaɪ];"cause to look larger than it really is; make too much of; go beyond the truth in telling";بیش از حد واقعی جلوه دادن ، در گفتن پا را از حقیقت فراتر گذاشتن;"a. A microscope is a magnifying glass.

b. It seems that Mr. Steinmetz magnified the importance of the document in his possession.

c. Some people have a tendency to magnify every minor fault in others."
Chiropractor;40;[chi·ro·prac·tor || 'kaɪərəʊ‚præktə];a person who treats ailments by massage and manipulation of the vertebrae and other forms of therapy on the theory that disease results from interference with the normal functioning of the nervous system;شخصی که بیماری ها را با ماساژ و کنترل ستون فقرات و دیگر اشکال دمان معالجه می کند و فرضیه اش این است که بیماری با دخالت در عملکرد طبیعی سیستم عصبی پدید می آید;"a. The chiropractor tried to relieve the pain by manipulating the spinal column.

b. Mrs. Lehrer confirmed that a chiropractor had been treating her.

c. The chiropractor recommended hot baths between treatments."
Obstacle;40;[ob·sta·cle || 'ɑbstəkl /'ɒb-];"anything that gets in the way or hinders; impediment; obstruction";هر چیزی که سر راه قرار می گییرد ی امانع می شود ، گیر ، مانع;"a. The soldiers were compelled to get over such obstacles as ditches and barbed wire.

b. Ignorance is an obstacle to progress.

c. Prejudice is often an obstacle to harmony among people."
Ventilate;40;[ven·ti·late || 'ventleɪt /-tɪl-];"change the air in; purify by fresh air; discuss openly";هوای داخل را تغییر دادن ، با هوای تازه تطهیر کردن ، علناً بحث کردن;"a. We ventilated the kitchen by opening the windows.

b. The lungs ventilate the blood.

c. There is merit in ventilating the topic of the prom before the entire senior class."
Jeopardize;40;[jeop·ard·ize || 'dʒepə(r)daɪz];"risk; endanger";ریسک کردن ، به خطر انداختن;"a. Soldiers jeopardize their lives in war.

b. Mr. Marcos revised his opinion of police officers after two of them had jeopardized their lives to save his drowning 

child.

c. Though it jeopardized his chance for a promotion, Mr. Rafael ventured to criticize his boss."
Negative;40;[neg·a·tive || 'negətɪv];"saying no; minus; showing the lights and shadows reversed";گفته ی منفی ، روشنایی و سایه را معکوس نشان دادن;"a. The captain gave a negative response to the request for a leave.

b. Three below zero is a negative quantity.

c. A negative image is used to print a positive picture."
Pension;40;[pen·sion || 'penʃən];"regular payment that is not wages; to make such a payment";پرداخت منظمی که دستمزد نیست ، چنین مبلغی را پرداختن;"a. Pensions are often paid because of long service, special merit, or injuries received.

b. The pension is calculated on the basis of your last year's income.

c. Mrs. Colby pensioned off her employee after thirty years of loyal service."
Vital;40;[vi·tal || 'vaɪtl];"having to do with life; necessary to life; causing death; failure or ruin; lively";مربوط به حیات ، ضروری برای حیات ، عامل مرگ و میر ، شکست یا ویرانی ، حیاتی;"a. We must preserve and protect our vital resources.

b. Eating is a vital function, the obese man reminded me.

c. The valiant soldier died of a vital wound."
Municipal;40;[mu·nic·i·pal || mjuː'nɪsɪpl];"of a city or state; having something to do in the affairs of a city or town";مربوط به شهر یا ایالت ، با امور شهر یا شهرک ارتباط دارد;"a. The state police assisted the municipal police in putting down the riot.

b. There was only a mediocre turnout for the municipal elections.

c. The municipal government placed a ban on parking during business hours."
Oral;40;[o·ral || 'ɔːrəl];"spoken; using speech; of the mouth";کلامی ، به کاربرنده ی کلام ، دهانی ، شفاهی;"a. An oral agreement is not enough; we must have a written promise.

b. Oral surgery is necessary to penetrate to the diseased root.

c. His unique oral powers made Lincoln a man to remember."
Complacent;41;[com'pla·cent || -nt];"pleased with oneself; self-satisfied";از خود راضی;"a. Senator Troy denounced the complacent attitude of the polluters of our air.

b. How can you be complacent about such a menace?

c. I was surprised that Martin was so complacent about his brief part in the play."
Wasp;41;[wɑsp ,wɔ- /wɒ-];an insect with a slender body and powerful sting;حشره ای با بدنی باریک و کشیده و نیشی قوی;"a. When the wasps descended on the picnic, we ran in all directions.

b. A swarm of wasps attacked us as we were reclining on the porch.

c. The piercing sting of a wasp can be very painful."
Rehabilitate;41;[re·ha·bil·i·tate || ‚rɪːə'bɪlɪteɪt];"restore to good condition; make over in a new form; restore to former standing, rank, reputation, etc.";به وضعیتی خوب باز گرداندن ، با جایگاه مقام یا شهرت قبلی برگرداندن;"a. The old house was rehabilitated at enormous expense.

b. The former criminal completely rehabilitated himself and was respected by all.

c. This wing of the house must be rehabilitated promptly, as there is a danger, it will collapse."
Parole;41;[pa·role || pə'rəʊl];"word of honor; conditional freedom; to free (a prisoner) under certain conditions";قول شرف ، آزادی مشروط ، ( یک زندانی ) را تحت شرایط خاصی آزاد کردن;"a. The judge paroled the juvenile offenders on condition that they report to him every three months.

b. Since the prisoner has been rehabilitated, his family is exploring the possibility of having him paroled.

c. The fugitive gave his parole not to try to escape again."
Vertical;41;['ver·ti·cal || 'vɜrtɪkl /'vɜːt-];straight up and down with reference to the horizon, for example, a vertical line;مستقیم از بالا و پایین مثلاً خط عمودی;"a. It wasn't easy to get the drunken man into a vertical position.

b. The way to vote for your candidate is to pull the lever from the horizontal position to the vertical position.

c. A circle surrounding a vertical line that ends in an inverted V is the well-known peace symbol."
Multitude;41;[mul·ti·tude || 'mʌltɪtjuːd];"a great number; a crowd";تعداد زیاد ، یک جماعت;"a. A multitude of letters kept pouring in to the movie idol.

b. The fleeing culprit was pursued by a fierce multitude.

c. Flood victims were aided by a multitude of volunteers."
Nominate;41;[nom·i·nate || 'nɑmɪneɪt /'nɒ-];"name as a candidate for office; appoint to an office";به عنوان نامزد یا منصب مشخص کردن ، برای پست دفتری منصوب کردن;"a. Three times Bryant was nominated for office but he was never elected.

b. The President nominated him for Secretary of State.

c. Though Danny was nominated last, he emerged as the strongest candidate."
Potential;41;[po·ten·tial || pəʊ'tenʃl];"possibility as opposed to actuality; capability of coming into being or action; possible as opposed to actual; capable of coming into being or action";امکان در برابر واقعیت ، توان به وجود آوردن یا موثر واقع شدن;"a. Mark has the potential of being completely rehabilitated.

b. The coach felt his team had the potential to reach the finals.

c. Destroying nuclear weapons reduces a potential threat to human survival."
Morgue;41;[mɔrg /mɔːg];"place where bodies of unknown persons found dead are kept; the reference library of a newspaper office";مکانی که در آن اجساد افراد ناشناسی که مرده یافت می شوند نگهداری می شود ، کتابخانه ی مرجع یک دفتر روزنامه;"a. There is a slender chance that we can identify the body in the morgue.

b. Bodies in the morgue are preserved by low temperatures.

c. In the morgue of the New York Times there are biographies of most famous people."
Preoccupied;41;[,pre'oc·cu·pied || ‚prɪ'ɑkjəpaɪd /-ɒkjʊ-];took up all the attention;درگیر ، مشغول ;"a. Getting to school in time for the test preoccupied Judy's mind.

b. My boss is always preoccupied with ways of cutting down on the workers' lateness.

c. Charity cases preoccupied Mrs. Reynaldo's attention."
Upholstery;41;[up'hol·ster·y || ʌp'həʊlstərɪ];coverings and cushions for furniture;روکش ها و رویه های مبل;"a. Our old sofa was given new velvet upholstery.

b. The Browns' upholstery was so new that we were wary about visiting them with the children.

c. Thirty-five dollars was the estimate for changing the upholstery on the dining-room chairs."
indifference;41;[in·dif·fer·ence || ɪn'dɪfrəns];lack of interest, care, or attention;عدم علاقه ، دقت یا توجه;"a. Alien's indifference to his schoolwork worried his parents.

b. It was a matter of indifference to Bernie whether the story circulating about his engagement was true or not.

c. My father could not refrain from commenting on Linda's indifference toward her brother's tears."
